pm2_5,city,co,pm10,level,o3,source,so2,crawl_time,date,aqi,no2
108,安阳,2.6,0,轻度污染,55,aqispider,103,2018-05-02 02:29:07.769000,2014-03-01,142,57
168,安阳,2.4,247,重度污染,27,aqispider,116,2018-05-02 02:29:09.095000,2014-03-02,218,71
95,安阳,1.6,121,轻度污染,78,aqispider,60,2018-05-02 02:29:09.099000,2014-03-03,125,40
80,安阳,2.1,152,轻度污染,133,aqispider,56,2018-05-02 02:29:09.150000,2014-04-01,107,53
62,安阳,1.7,118,良,80,aqispider,60,2018-05-02 02:29:09.153000,2014-04-02,84,44
36,蚌埠,0.6,110,良,119,aqispider,17,2018-05-02 02:29:09.335000,2015-10-01,80,33
101,安阳,2.1,144,轻度污染,58,aqispider,65,2018-05-02 02:29:09.342000,2014-03-04,133,48
74,安阳,2.2,113,良,36,aqispider,88,2018-05-02 02:29:09.345000,2014-03-05,99,54
94,安阳,2,162,轻度污染,53,aqispider,110,2018-05-02 02:29:09.348000,2014-03-06,124,60
102,安阳,2.6,170,轻度污染,60,aqispider,74,2018-05-02 02:29:09.350000,2014-03-07,134,49
56,安阳,1.4,131,良,94,aqispider,41,2018-05-02 02:29:09.354000,2014-04-03,91,43
105,安阳,2.1,189,轻度污染,77,aqispider,68,2018-05-02 02:29:09.356000,2014-04-04,138,61
55,安阳,1.4,259,中度污染,84,aqispider,43,2018-05-02 02:29:09.358000,2014-04-05,155,35
66,安阳,1.8,137,良,91,aqispider,61,2018-05-02 02:29:09.361000,2014-04-06,94,44
85,安阳,1.9,166,轻度污染,81,aqispider,61,2018-05-02 02:29:09.363000,2014-04-07,113,57
90,蚌埠,1,193,轻度污染,136,aqispider,22,2018-05-02 02:29:09.415000,2015-10-02,122,41
77,蚌埠,0.9,157,轻度污染,137,aqispider,23,2018-05-02 02:29:09.417000,2015-10-03,104,35
106,安阳,2,148,轻度污染,65,aqispider,85,2018-05-02 02:29:09.425000,2014-03-08,139,58
164,安阳,3.4,248,重度污染,75,aqispider,117,2018-05-02 02:29:09.427000,2014-03-09,214,74
140,安阳,2.4,201,中度污染,109,aqispider,127,2018-05-02 02:29:09.430000,2014-03-10,186,60
63,安阳,1.9,112,良,97,aqispider,50,2018-05-02 02:29:09.432000,2014-03-11,85,40
85,安阳,2.5,248,轻度污染,47,aqispider,78,2018-05-02 02:29:09.433000,2014-03-12,149,50
140,蚌埠,1.1,188,中度污染,117,aqispider,36,2018-05-02 02:29:09.479000,2015-11-01,186,58
124,蚌埠,1.1,189,中度污染,97,aqispider,35,2018-05-02 02:29:09.481000,2015-11-02,163,58
130,安阳,2.7,210,中度污染,141,aqispider,58,2018-05-02 02:29:09.484000,2014-04-08,172,54
149,安阳,2.4,227,中度污染,194,aqispider,44,2018-05-02 02:29:09.487000,2014-04-09,199,44
96,安阳,1.8,204,轻度污染,68,aqispider,54,2018-05-02 02:29:09.489000,2014-04-10,127,47
63,安阳,2.3,120,良,54,aqispider,55,2018-05-02 02:29:09.493000,2014-04-11,85,62
80,蚌埠,0.9,130,轻度污染,106,aqispider,28,2018-05-02 02:29:09.598000,2015-10-04,107,34
72,蚌埠,0.9,104,良,126,aqispider,22,2018-05-02 02:29:09.603000,2015-10-05,97,28
